FID,SAMPLINGFEATURENO,SAMPLINGFEATURENAME,SAMPLINGFEATURETYPE,SAMPLENO,SAMPLENAME,SAMPLETYPE,PROPERTY,REMANENTMAGNETISATION,UNITOFMEASURE,RESULTQUALIFIER,MAGNETISATIONUNCERTAINTY,UNCERTAINTYUOM,UNCERTAINTYTYPE,ANGULARUNCERTAINTY,ANGULARUNCERTAINTYUOM,ANGULARUNCERTAINTYTYPE,RAWINCLINATION,RAWINCLINATIONUOM,RAWDECLINATION,RAWDECLINATIONUOM,INCLINATION,INCLINATIONUOM,DECLINATION,DECLINATIONUOM,DEMAGFIELD,DEMAGFIELDUOM,DEMAGTEMPERATURE,DEMAGTEMPERATUREUOM,DEMAGPRESSURE,DEMAGPRESSUREUOM,STRATIGRAPHICUNITNAME,PROVINCENAME,MATERIALCLASS,LITHOLOGYGROUP,LITHOLOGY,SAMPLE_LONGITUDE,SAMPLE_LATITUDE,SAMPLE_ELEVATION,BOREHOLECOLLARLONGITUDE,BOREHOLECOLLARLATITUDE,BOREHOLECOLLARELEVATION,BOREHOLEINTERVALBEGIN_M,BOREHOLEINTERVALEND_M,SAMPLEAZIMUTH,SAMPLEPLUNGE,SAMPLEHADE,SAMPLINGDATE,LOCATIONACCURACY_M,LOCATIONMETHOD,SAMPLEORIGINATOR,SAMPLINGLOCATIONREMARK,PROCESSTYPE,METHOD,INSTRUMENT,ANALYSISDATETIME,ANALYSISORIGINATOR,ANALYSISLOCATIONREMARK,NUMERICALCONFIDENCE,METADATAQUALITY,SUMMARYCONFIDENCE,SOURCETYPE,SOURCE,RESULTID,GEOM,PROJECT
remanent_magnetisation.146007,520364,WJD 1,borehole,2153033,1978553,core diamond,remanent magnetisation,5.157706,milliampere per metre,single measurement - whole sample,,,unknown,,,,-31.63,degree,32.37,degree,,,,,200,millitesla,22,degree Celsius,1,atmosphere,Whyalla Sandstone,,,siliciclastic sedimentary rock,sedimentary rock,,,,136.966236,-31.065877,152,345.72,345.81,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146289,520364,WJD 1,borehole,2153043,1978563,core diamond,remanent magnetisation,50.725962,milliampere per metre,single measurement - whole sample,,,unknown,,,,20.94,degree,24.72,degree,,,,,50,millitesla,22,degree Celsius,1,atmosphere,Pandurra Formation,Cariewerloo Basin,,siliciclastic sedimentary rock,sedimentary rock,,,,136.966236,-31.065877,152,798.07,798.29,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.145997,520364,WJD 1,borehole,2153033,1978553,core diamond,remanent magnetisation,2.412652,milliampere per metre,single measurement - whole sample,,,unknown,,,,2.59,degree,198.33,degree,,,,,150,millitesla,22,degree Celsius,1,atmosphere,Whyalla Sandstone,,,siliciclastic sedimentary rock,sedimentary rock,,,,136.966236,-31.065877,152,345.72,345.81,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146283,520364,WJD 1,borehole,2153042,1978562,core diamond,remanent magnetisation,0.343953,milliampere per metre,single measurement - whole sample,,,unknown,,,,-11.44,degree,81.31,degree,,,,,50,millitesla,22,degree Celsius,1,atmosphere,Tapley Hill Formation,Mount Painter Block,,sedimentary rock,slate,,,,136.966236,-31.065877,152,740.75,740.93,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146008,520364,WJD 1,borehole,2153033,1978553,core diamond,remanent magnetisation,3.569462,milliampere per metre,single measurement - whole sample,,,unknown,,,,-23.68,degree,347.26,degree,,,,,300,millitesla,22,degree Celsius,1,atmosphere,Whyalla Sandstone,,,siliciclastic sedimentary rock,sedimentary rock,,,,136.966236,-31.065877,152,345.72,345.81,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146179,520364,WJD 1,borehole,2153039,1978559,core diamond,remanent magnetisation,1.173319,milliampere per metre,single measurement - whole sample,,,unknown,,,,8.06,degree,266.12,degree,,,,,300,millitesla,22,degree Celsius,1,atmosphere,Tapley Hill Formation,Mount Painter Block,,sedimentary rock,slate,,,,136.966236,-31.065877,152,584.4,584.56,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146178,520364,WJD 1,borehole,2153039,1978559,core diamond,remanent magnetisation,0.81,milliampere per metre,single measurement - whole sample,,,unknown,,,,24.51,degree,275.18,degree,,,,,200,millitesla,22,degree Celsius,1,atmosphere,Tapley Hill Formation,Mount Painter Block,,sedimentary rock,slate,,,,136.966236,-31.065877,152,584.4,584.56,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146288,520364,WJD 1,borehole,2153042,1978562,core diamond,remanent magnetisation,0.402528,milliampere per metre,single measurement - whole sample,,,unknown,,,,3.72,degree,53.19,degree,,,,,400,millitesla,22,degree Celsius,1,atmosphere,Tapley Hill Formation,Mount Painter Block,,sedimentary rock,slate,,,,136.966236,-31.065877,152,740.75,740.93,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146028,520364,WJD 1,borehole,2153034,1978554,core diamond,remanent magnetisation,6.097026,milliampere per metre,single measurement - whole sample,,,unknown,,,,-23.98,degree,270.66,degree,,,,,500,millitesla,22,degree Celsius,1,atmosphere,Whyalla Sandstone,,,siliciclastic sedimentary rock,sandstone,,,,136.966236,-31.065877,152,388.49,388.65,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146020,520364,WJD 1,borehole,2153033,1978553,core diamond,remanent magnetisation,9.904286,milliampere per metre,single measurement - whole sample,,,unknown,,,,24.86,degree,246.93,degree,,,,,700,millitesla,22,degree Celsius,1,atmosphere,Whyalla Sandstone,,,siliciclastic sedimentary rock,sedimentary rock,,,,136.966236,-31.065877,152,345.72,345.81,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
